Ambemohar Rice,Arhar Dal,Atta,Bajra,Bajra Flour,Barley,Barley Flour,Barnyard Millet,Basmati Rice,Besan,Big Sabudana,Biryani Kit,Black Masoor Dal,Black Rice,Boiled Ponni Rice,Broken Rice,Brown Basmati Rice,Brown Sona Masuri Rice,Chana Dal,Corn Flour (Starch),Couscous,Daliya,Dhania Dal,Dosa Rice,Dubar Basmati Rice,Flour,Foxtail Millet,Glutinous Rice,Govindo Bhog Rice,Gram,Green Chana,Green Dried Peas,Horse Gram,Idli Rice,Jeera Rice,Jowar,Jowar Flour,Kabuli Chana,Kala Chana,Khichdi Mix,Kodo Millet,Kolam Rice,Kuttu Flour,Little Millet,Lokwan Wheat,Maida,Makki Atta (Maize Flour),Malka Masoor,Masoor Dal,Masoor Whole,Matta Rice,Mix,Mix Dal,Mix Flour,Mogra Basmati Rice,Moong (Sabut),Moong Dal (Chilka),Moong Dal (Dhuli),Moth Dal,Multigrain Atta,Organic Daliya,Parmal Rice,Pearl Millet,Pesticide-Free Daliya,Poha,Ponni Rice,Popcorn Kernels,Powder,Proso Millet,Puffed Rice,Quinoa,Ragi,Ragi Flour,Rajgira Flour,Rajma Chitra,Rava,Raw Ponni Rice,Raw Sonamasuri Rice,Red Lobiya,Red Poha,Red Rajma,Rice,Rice Flour,Roasted Dal,Roasted Sooji,Sattu,Sharbati Atta,Sharbati Wheat,Singhara Flour,Small Sabudana,Sonamasuri Rice,Sooji,Soya Chunks,Soya Granules,Soya Mini Chunks,Soyabean Flour,Soyabeans,Steam Sonamasuri Rice,Sugar Release Control Atta,Sushi Rice,Thick Poha,Thin Poha,Tibar Basmati Rice,Urad (Sabut),Urad Dal (Chilka),Urad Dal (Dhuli),Urad Gota,White Dried Peas,White Lobiya
0,253,85,2,9,0,0,0,112,89,40,0,21,3,0,3,0,1,54,2,0,30,0,0,10,0,0,0,0,0,0,0,0,14,0,3,16,38,21,0,0,127,0,0,4,22,1,6,48,0,0,0,5,7,20,47,34,149,22,21,0,3,0,0,82,1,1,0,0,0,0,1,9,2,9,0,0,1,0,0,11,0,13,0,0,1,23,14,0,30,0,149,14,3,11,1,0,3,0,0,83,14,7,8,4,52,4,18,15
253,0,54531,41,217,123,0,63,28309,38962,1047,1,15972,3,125,12,430,258,53350,1128,0,9390,11,961,1412,21,144,0,19,1788,14,541,489,1679,329,18,468,33511,29765,298,80,2322,104,113,176,12853,205,19859,22967,139,94,38,5882,459,14111,13653,18093,48795,1351,5268,62,1740,40,5,7916,4,323,18,20,813,59,88,1474,66,27367,225,4,2411,532,58,5465,346,2532,1353,1524,2697,5337,208,10,4288,0,38985,6777,983,5029,54,108,1513,72,0,28812,2952,234,7156,9897,17065,3293,4996,3558
85,54531,0,48,320,79,0,29,39645,40102,740,2,9181,3,121,8,353,200,30923,1212,0,9979,9,471,1562,9,71,0,14,791,5,325,228,886,222,5,645,23534,22717,203,29,1549,182,37,12,14502,317,12166,12674,83,83,18,4754,490,22299,7954,10058,24516,663,1932,62,2842,21,5,6175,6,333,13,10,856,41,62,1317,80,19140,126,4,1849,274,27,4023,609,1962,594,928,3303,1095,24,12,3668,0,35990,6855,871,4959,101,51,1816,9,0,28616,2358,198,4705,5513,8047,1139,3551,2070
2,41,48,0,15,4,0,0,34,50,4,0,14,0,0,0,3,2,38,2,0,37,0,0,2,1,0,0,0,0,0,0,0,2,0,50,16,23,35,3,0,7,1,0,4,25,2,6,15,0,0,0,8,4,15,19,22,42,3,11,0,3,0,0,12,1,21,0,0,1,1,17,10,2,19,0,0,0,0,0,8,0,3,0,0,8,4,3,0,13,0,55,4,3,5,3,1,1,0,0,45,5,1,8,12,13,0,3,6
9,217,320,15,0,1,0,0,120,245,20,0,33,0,0,0,12,7,134,26,0,91,0,0,3,5,0,0,0,0,1,0,6,8,0,3,616,113,104,4,0,31,20,0,1,79,167,39,76,0,0,0,22,34,34,85,77,129,13,64,0,10,0,0,58,1,5,0,0,8,5,1,307,55,69,0,0,0,2,0,34,0,80,0,1,60,27,1,4,28,0,202,41,4,23,71,2,2,0,0,147,9,1,31,31,55,3,27,27
0,123,79,4,1,0,0,7,34,50,6,0,6,0,1,0,2,6,68,5,0,47,1,21,3,1,17,0,1,19,0,5,16,27,5,7,10,34,39,0,11,21,0,13,3,29,4,6,18,0,3,1,2,1,5,67,21,85,7,6,2,3,14,0,24,0,9,1,6,3,0,31,35,3,9,3,0,19,2,4,15,0,37,20,12,3,22,7,0,50,0,115,8,1,4,2,11,1,2,0,62,21,0,12,13,57,34,2,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,63,29,0,0,7,0,0,18,17,0,0,0,0,2,0,1,2,33,2,0,4,0,9,1,0,160,0,0,10,0,2,3,15,2,0,6,8,13,0,151,5,0,180,1,17,3,3,7,0,2,0,0,2,0,28,8,33,7,11,0,1,41,0,13,0,4,1,66,2,0,12,27,0,2,1,0,19,3,3,6,0,19,11,10,0,9,0,0,42,0,56,5,0,2,0,6,1,0,0,25,20,0,2,2,30,19,1,3
112,28309,39645,34,120,34,0,18,0,19078,476,11,5093,3,51,5,566,199,14812,709,0,4999,2,256,740,7,30,0,14,216,5,172,97,538,338,4,228,13618,10769,192,22,620,69,17,38,6285,109,5143,8475,58,47,12,3066,256,3164,4711,6698,15077,425,4849,38,743,8,2,4531,1,180,7,4,609,57,31,399,46,11928,46,0,542,137,23,2927,317,795,191,412,1294,4765,80,6,1967,1,16465,3624,638,3075,31,26,399,25,0,14496,1223,175,2958,2948,4058,425,1787,1424
89,38962,40102,50,245,50,0,17,19078,0,774,2,9191,1,27,8,378,165,28886,1441,0,9676,4,255,999,14,34,0,9,610,9,279,171,484,105,8,518,24492,21354,233,20,654,123,24,57,18504,232,10167,10582,35,23,15,3930,486,8134,8138,11461,23651,927,3884,49,914,10,5,6662,1,308,10,4,667,81,38,835,74,20519,110,1,535,287,33,3860,261,2112,408,1030,2833,4084,77,6,3510,0,49386,5566,1007,4246,80,39,511,23,0,28723,2117,171,5182,6173,8158,737,3557,2632
40,1047,740,4,20,6,0,0,476,774,0,1,219,0,0,1,18,9,523,36,0,345,0,0,23,5,0,0,0,0,0,7,3,19,0,9,35,470,434,3,0,126,114,0,21,275,13,100,285,0,0,1,71,40,176,318,288,692,81,92,6,22,0,0,664,1,25,0,0,32,8,2,36,71,289,0,0,2,1,0,104,9,71,0,12,35,91,20,19,336,0,1288,113,23,101,4,0,12,0,0,1092,79,2,98,83,345,16,127,103
0,1,2,0,0,0,0,0,11,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
21,15972,9181,14,33,6,0,0,5093,9191,219,0,0,1,5,1,85,49,10814,181,0,2543,1,12,271,9,4,0,1,19,1,58,63,58,8,5,80,9254,7448,108,2,157,21,1,21,2447,27,5499,5967,9,1,2,2452,115,2262,3276,5828,8574,513,836,18,238,1,4,1161,0,89,0,0,156,16,5,97,15,8451,2,0,41,146,6,1655,77,164,15,114,357,644,16,2,843,0,7152,1428,311,1246,15,27,77,5,0,6065,307,39,2602,3642,3042,58,1206,1453
3,3,3,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,125,121,0,0,1,0,2,51,27,0,0,5,0,0,0,1,4,48,7,0,10,1,21,3,0,4,0,2,13,0,4,3,79,19,0,2,19,33,0,0,16,0,5,0,26,1,10,26,0,10,1,0,1,4,25,6,65,3,14,0,0,2,0,18,0,1,0,1,5,0,4,12,0,9,0,0,33,1,3,6,0,25,11,13,0,29,0,0,11,0,66,15,0,8,1,1,11,2,0,33,15,0,3,6,43,51,10,1
3,12,8,0,0,0,0,0,5,8,1,0,1,0,0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,5,4,4,9,2,2,0,1,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,4,0,0,0,2,1,0,3,0,6,3,1,0,1,0,2,0,0,3,2,0,0,2,7,0,1,2
