Anti Stretch Mark Massage Oil,Baby Bed Protector Sheet,Baby Bottle Cleaning Brush,Baby Cereal,Baby Cleansing Bar,Baby Cream,Baby Face Cream,Baby Face Wash,Baby Food,Baby Gift Set,Baby Hair Oil,Baby Health Supplement,Baby Laundry Detergent,Baby Liquid Cleanser,Baby Lotion,Baby Massage Oil,Baby Milk Powder,Baby Powder,Baby Shampoo,Baby Soap,Baby Sunscreen,Baby Tongue Cleaner,Baby Toothbrush,Baby Toothpaste,Baby Wash,Baby Wash & Shampoo,Baby Wipes,Balm,Bathing Bar,Bib,Bites,Body Oil,Body Wash,Bowl,Chest rubs & balms,Cloth Nappy,Combo,Cotton Balls,Cotton Buds,Date Powder,Diaper,Diaper Rash Cream,Digital Thermometer,Drops,Feeding Bottle,Feeding Nipple,Feeding Spoon,Follow up Formula,Food Feeder,Fruit Gel,Gripe Water,Health Drink,Health Syrup,Infant Formula,Instant Mix,Kids Electric Toothbrush,Kids Toothbrush,Kids Toothpaste,Medicine Dropper,Mosquito Repellent,Nail Clipper,Nappy Pad,Nose Cleaner,Pancake Mix,Pants,Porridge,Potty Trainer,Puffs,Puree,Ragi Flour,Ready to Cook,Rings,Roll On,Snack,Soother,Spoon Set,Sticks,Stretch Marks Kit,Supplement,Teether
0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,2,0,1,2,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,3,0,9,0,0,0,8,1,0,2,2,7,5,1,6,5,17,0,0,0,1,2,0,24,0,3,3,0,0,0,0,2,4,0,1,2,0,19,6,0,0,12,3,3,1,2,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
0,1,0,8,1,1,0,0,0,0,2,0,8,28,2,1,1,7,9,3,0,1,9,4,6,1,14,0,2,2,0,0,0,2,3,3,1,0,5,0,23,2,1,0,35,0,3,9,3,0,0,0,0,5,0,0,4,0,1,0,0,0,1,0,0,0,0,1,1,0,2,1,0,3,0,0,3,0,1,0
0,3,8,0,8,58,12,0,0,4,40,3,14,25,61,83,56,122,102,166,8,1,50,48,86,11,275,2,19,7,2,0,0,8,14,2,45,0,10,0,798,22,1,0,51,8,10,843,11,0,24,36,10,62,0,0,28,8,4,13,2,0,1,21,1,114,0,32,70,43,42,18,4,134,6,0,124,0,0,0
0,0,1,8,0,3,1,0,0,0,2,0,3,1,9,2,0,14,12,6,1,0,6,8,5,2,8,0,2,0,0,0,0,0,1,0,0,0,1,0,17,4,0,0,0,0,0,7,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0
0,9,1,58,3,0,2,5,0,1,81,0,5,6,268,102,6,409,298,512,11,0,22,54,182,7,119,0,8,1,0,3,0,1,7,3,0,1,8,0,196,32,0,0,8,5,2,21,4,0,7,3,4,8,0,1,38,23,1,5,1,1,0,0,0,3,0,1,0,0,0,3,1,3,1,0,3,0,0,0
0,0,0,12,1,2,0,11,0,1,15,0,0,1,59,10,1,27,52,29,28,0,10,19,46,1,21,1,15,1,0,0,0,0,1,0,1,0,1,0,27,9,0,0,5,1,1,10,0,1,4,1,1,1,0,0,8,1,0,5,0,0,0,1,0,1,1,1,1,3,0,0,3,1,0,0,4,0,0,0
0,0,0,0,0,5,11,0,0,0,3,0,2,0,10,1,1,4,17,2,13,1,1,9,23,1,6,0,4,1,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,2,0,0,0
1,8,0,4,0,1,1,0,0,0,1,0,0,0,1,2,0,3,3,5,0,0,1,1,1,0,14,0,0,3,0,0,0,0,1,3,0,0,3,0,20,0,0,0,2,0,2,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
1,1,2,40,2,81,15,3,0,1,0,0,3,4,81,92,2,146,189,196,7,0,6,31,81,6,40,3,6,0,0,1,0,0,2,1,1,0,5,0,79,14,0,0,5,2,0,11,0,0,2,1,0,3,0,0,23,7,0,5,0,0,0,2,1,2,0,2,0,1,1,1,1,4,0,0,2,0,0,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0
2,2,8,14,3,5,0,2,0,0,3,0,0,54,7,7,0,6,7,5,0,0,5,7,18,4,37,1,1,1,0,0,0,3,2,1,0,1,3,0,29,7,1,0,6,1,1,9,2,0,2,0,0,7,0,0,1,0,1,2,0,0,0,1,0,2,0,1,3,0,3,1,1,4,1,0,2,0,1,0
