Agar Agar Powder,Bagel,Bakery Cookies,Baking Powder,Baking Soda,Banana Bread,Biscuit,Biscuits Gift Pack,Bourbon Biscuits,Bread Crumbs,Brownie,Butter Cookies,Cake,Cake Decoration,Cake Mix,Candy,Center Filled Biscuits,Choco Pie,Chocolate Cake,Chocolate Cookies,Cocoa Powder,Coconut Milk Powder,Color,Combo,Cookie Mix,Cookies,Cookies Gift Pack,Corn Flour,Cracker,Crackers,Cream Biscuits,Cream Roll,Crisps,Croissant,Cupcake,Custard Mix,Custard Powder,Drip,Dust,Essence,Food Colour,Fresh Bakery Cake,Fresh Bakery Cookies,Frosting,Fruit Cake,Gelatin,Gift Box,Glucose & Milk Biscuits,Gluten,Gum Powder,Healthy & Digestive,Jelly,Lavash,Loaf,Marie Biscuits,Milk,Mix,Multigrain Bread,Pancake Mix,Paste,Pastry,Pie,Pizza Base,Potato Biscuits,Powder,Puff Roll,Rusk,Sandwich Cream Biscuits,Sheets,Shortening,Sourdough,Sprinkles,Sweet & Salty Biscuits,Sweets,Swiss Roll,Toast,Topping,Wafer Bar,Wafer Roll,Wafers,Waffle,Wheat Bread,Yeast,Yeast Extract,Yeast Flakes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19,36,2,3847,31,77,0,18,51,362,1,21,45,171,394,169,48,5,0,1,78,3,3121,0,0,24,11,266,5,2,157,58,0,55,0,0,20,6,7,78,0,689,0,13,103,0,0,23,2,15,4,511,0,3,1,32,1,1,28,2,86,2,687,822,1112,0,0,0,15,577,10,92,11,1,1,100,299,2,3,3,0,0
0,0,19,0,2916,0,855,2,20,0,1,1,44,2,66,9,21,54,41,5,666,0,2,11,0,346,0,0,2,0,74,0,0,37,4,0,433,2,0,1265,60,0,0,0,111,0,2,19,0,0,4,11,2,1,144,0,9,0,33,4,0,3,4,11,21,80,187,363,0,1,0,151,103,0,10,0,16,0,20,51,4,2,88,0,0
0,0,36,2916,0,0,1412,6,24,0,2,15,85,2,62,6,38,109,68,3,411,0,1,12,0,526,0,0,3,4,132,0,0,37,13,0,298,0,0,871,70,1,5,0,210,0,1,29,0,0,8,16,1,1,240,0,8,1,39,3,0,4,3,15,18,110,323,444,0,1,0,126,175,1,14,2,14,0,26,72,4,5,88,0,0
0,0,2,0,0,0,18,0,1,0,0,0,1,0,0,1,0,3,1,1,0,0,0,1,0,11,0,0,1,0,3,0,0,8,0,0,0,0,0,2,0,3,6,0,3,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,2,1,0,4,6,3,0,0,0,0,2,0,0,0,0,0,1,3,0,4,0,0,0
0,1,3847,855,1412,18,0,330,3048,0,315,1482,7245,9,489,828,4283,9395,7593,265,347,0,4,1107,6,70377,0,0,319,123,18368,82,100,3460,584,0,1979,2,1,775,162,40,255,0,25814,0,29,8195,0,0,563,126,96,70,33646,0,86,48,689,5,1,213,51,1551,51,11961,32032,54041,0,0,6,242,27229,45,2685,60,52,25,2051,6776,90,74,95,0,0
0,0,31,2,6,0,330,0,11,0,4,2,38,0,3,6,22,32,8,5,3,0,0,19,0,252,0,0,3,0,25,0,0,6,5,0,3,0,0,2,0,1,7,0,36,0,1,7,0,0,8,1,0,0,57,0,0,0,6,0,0,1,0,24,0,55,71,99,0,0,1,2,72,1,15,1,0,1,10,29,0,3,0,0,0
0,0,77,20,24,1,3048,11,0,0,9,34,215,0,15,42,462,451,252,10,11,0,0,38,0,1837,0,0,5,5,783,0,1,105,18,0,31,0,0,8,1,4,8,0,620,0,1,111,0,0,9,2,3,0,461,0,1,0,9,0,0,12,0,44,0,466,360,1840,0,0,0,1,422,1,126,0,1,0,69,279,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
