Chicken,Chicken Breast,Chicken Drumstick,Chicken Keema,Chicken Leg,Chicken Lollipop,Chicken Thigh,Chicken Tikka,Chicken Wings,Drumstick,Fillet,Fish,Ham,Kebab,Keema,Lyoner,Mackarel,Momos,Mutton,Nuggets,Pork,Prawns,Raw Chicken,Rohu,Salami,Sausage,Seekh Kebab,Soup Bone,Tilapia
0,1820,454,117,623,134,213,9,40,1140,6,285,19,7,0,7,0,0,103,2,0,3,231,20,109,34,50,0,37
1820,0,156,103,177,25,164,3,7,363,1,68,7,2,2,3,0,0,25,2,0,0,89,4,49,12,21,0,8
454,156,0,30,6,3,98,22,0,59,0,2,6,5,0,1,0,0,6,0,0,0,17,0,13,5,11,0,0
117,103,30,0,6,3,7,0,0,13,0,4,1,0,1,0,0,0,2,0,0,0,3,0,2,4,3,0,0
623,177,6,6,0,47,3,0,35,28,0,45,0,0,0,0,0,0,22,2,0,0,0,4,3,1,0,0,3
134,25,3,3,47,0,0,0,15,8,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
213,164,98,7,3,0,0,0,0,46,0,3,7,3,0,3,0,0,6,0,0,0,30,0,6,9,4,0,0
9,3,22,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0
40,7,0,0,35,15,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1140,363,59,13,28,8,46,3,2,0,0,10,0,0,1,2,0,0,12,0,0,0,43,0,15,2,7,0,0
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
285,68,2,4,45,16,3,0,2,10,0,0,1,0,0,0,0,0,27,0,0,0,1,9,1,1,0,0,7
19,7,6,1,0,0,7,0,0,0,0,1,0,1,0,24,0,0,0,0,0,0,1,0,6,41,3,0,0
7,2,5,0,0,0,3,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6,0,0
0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
7,3,1,0,0,0,3,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,1,0,3,18,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103,25,6,2,22,4,6,0,1,12,0,27,0,1,0,0,0,0,0,0,0,1,3,1,1,1,1,0,1
2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
231,89,17,3,0,0,30,1,0,43,0,1,1,0,0,1,0,0,3,0,0,0,0,0,4,1,3,0,0
20,4,0,0,4,0,0,0,0,0,2,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6
109,49,13,2,3,0,6,1,0,15,0,1,6,1,0,3,0,0,1,2,0,0,4,0,0,9,3,0,0
34,12,5,4,1,0,9,0,0,2,0,1,41,1,4,18,0,1,1,12,1,0,1,0,9,0,5,0,0
50,21,11,3,0,0,4,6,0,7,0,0,3,6,0,1,0,0,1,1,0,0,3,0,3,5,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,8,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0
