Bathroom Cleaner,Bathroom Wiper,Bottle Brush,Broom,Cleaner,Cleaner Wipes,Combo,Detergent Bar,Detergent Pods,Detergent Powder,Dishwash Bar,Dishwash Gel,Dishwash Paste,Dishwash Powder,Dishwash Salt,Dishwash Tablet,Dishwashing Tub,Disinfectant,Disinfectant Spray,Drain Cleaner,Dustbin,Duster,Dustpan,Dustpan & Brush,Fabric Conditioner,Floor Cleaner,Floor Cloth,Fruit & Vegetable Wash,Glass Cleaner,Hand Gloves,Herbal Floor Cleaner,Keyboard Brush,Kitchen Brush,Kitchen Cleaner,Kitchen Wiper,Laundry Disinfectant,Liquid Detergent,Liquid Fabric Stiffener,Liquid Fabric Whitener,Liquid Shoe Polish,Matic Detergent Powder,Matic Liquid Detergent,Microfiber Cloth,Mop,Mop Refill,Multi Purpose Cleaner,Phenyl,Plunger,Powdered Fabric Stiffener,Rod,Sanitizer,Scrub,Scrub Pad,Scrubber,Shoe Brush,Shoe Polish,Sink Brush,Soap Dispenser,Soap Dispenser Pump,Spin Mop,Sponge,Sponge Cloth,Sponge Scrub,Sponge Wipe,Spray,Stain Remover,Steel Scrubber,Surface Cleaner,Tile Brush,Toilet Brush,Toilet Cleaner,Toilet Cleaner Block,Urinal Cubes,Wiper,Wipes,Woollen Liquid Detergent
0,2,54,799,0,0,244,1909,3,5145,4351,3871,0,8,1,6,866,308,206,533,43,104,205,0,1268,5532,199,7,1894,0,143,0,1,455,73,0,763,98,626,2,1663,1914,17,76,22,101,1631,14,21,1,44,122,1305,47,21,8,227,1,22,40,55,0,413,417,85,587,1241,10,50,604,12140,993,3,381,100,292
2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,4,0,0,0,0,0
54,0,0,70,0,0,15,43,0,112,127,220,0,0,0,0,29,12,14,21,6,41,24,0,48,116,38,0,66,0,7,0,2,31,28,0,28,5,23,0,49,57,7,10,4,5,39,3,1,0,4,10,153,1,4,1,43,5,12,9,6,1,76,87,6,32,100,0,3,68,150,26,0,58,24,13
799,1,70,0,1,0,200,873,3,2680,2595,2024,0,4,1,2,494,156,132,220,332,480,2002,1,384,3046,1392,1,1076,0,69,0,2,227,253,4,323,31,194,1,652,716,44,428,53,62,1484,50,14,1,35,111,1519,13,35,12,308,3,42,209,53,1,451,471,75,180,1391,8,56,1290,3455,379,8,2202,97,115
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,1,15,200,0,0,0,234,1,694,579,665,0,0,1,0,129,45,28,67,24,47,88,0,226,648,105,3,162,0,15,0,0,84,39,0,89,13,72,0,254,308,5,29,7,18,225,0,4,0,8,11,240,2,8,1,41,0,2,13,9,0,74,95,45,99,218,2,4,118,637,136,2,99,22,42
1909,0,43,873,0,0,234,0,6,28730,24612,6845,0,2,1,3,2719,421,243,445,38,94,157,0,1698,6186,184,8,1817,0,97,0,0,228,64,1,1181,156,1495,8,4013,2837,15,36,9,52,3723,16,64,0,45,174,2880,12,71,40,93,3,19,26,180,0,660,438,84,814,2604,29,28,352,10459,584,7,283,103,613
3,0,0,3,0,0,1,6,0,22,16,14,0,0,0,0,2,1,2,1,0,1,1,0,20,22,0,0,1,0,1,0,0,3,0,0,7,1,6,0,28,22,1,0,1,0,6,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,1,3,0,11,1,0,0,0,15,12,0,2,1,3
5145,1,112,2680,0,0,694,28730,22,0,48066,18957,0,20,1,24,5849,1095,652,1130,109,261,410,0,5053,17144,540,21,5240,0,292,0,2,714,151,9,3420,399,3526,33,6421,6380,37,125,30,150,11084,51,177,1,110,436,6797,45,141,97,232,5,53,63,402,0,1575,1079,229,2730,6384,63,65,849,28035,1444,18,820,329,2045
