Ale,Beer,Beverage Gift Pack,Blending Water,Carbonated Water,Cocktail Mix,Cocktail Mixer,Coconut Water,Cold Pressed Juice,Combo,Concentrated Drink Mix,Drink,Drink Mix,Energy Drink,Energy Drink Mix,Flavoured Water,Fruit Drink,Hangover Drink,Hot Chocolate,Ice Cubes,Iced Tea,Juice,Lemonade,Malt Drink,Mango Drink,Masala Soda,Millet,Mineral Water,Mixer,Non-Alcoholic Beer,Non-alcoholic Drink,Packaged Water,Sharbat,Shots,Smoothie,Soda Water,Soft Drink,Sparkling Drink,Sparkling Water,Sports Drink,Squash,Syrup,Tonic Water,Water
0,2356,2,0,52,754,4,525,366,6,127,60,7,879,98,289,293,5,1,213,17,2076,0,0,878,334,1,2,6,16,10,573,182,0,10,2476,9076,1,275,265,70,141,3297,0
2356,0,0,0,30,499,6,673,302,11,293,75,6,1629,281,199,678,4,1,113,1,3537,0,0,2094,697,6,2,1,45,160,733,350,0,29,1406,12447,0,191,426,107,173,449,0
2,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,3,0,0,0,0,27,0,0,15,1,0,0,0,0,0,2,3,0,0,1,19,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,30,0,0,0,31,0,16,2,0,1,2,1,11,0,7,5,0,0,0,0,23,1,1,4,3,0,3,2,0,0,10,2,0,0,25,60,0,14,2,0,1,97,1
754,499,0,0,31,0,15,166,84,1,50,14,1,356,31,122,108,2,0,173,3,1072,0,0,379,105,0,0,2,2,5,210,80,0,8,1484,3008,0,178,73,41,82,771,0
4,6,0,0,0,15,0,1,0,0,1,0,0,1,1,2,0,0,0,3,0,13,0,0,5,0,0,0,0,0,0,2,1,0,0,25,17,0,0,1,0,16,7,0
525,673,4,0,16,166,1,0,1593,6,495,269,14,1034,603,276,582,8,2,101,0,10216,0,0,3718,335,4,2,2,2,4,2284,670,0,51,1202,8728,0,203,465,184,255,250,0
366,302,0,0,2,84,0,1593,0,2,91,367,6,325,58,56,168,4,0,34,0,2627,0,0,771,97,4,2,0,3,1,537,120,0,68,466,2416,0,104,173,48,71,163,0
6,11,0,0,0,1,0,6,2,0,0,0,0,11,1,0,3,0,0,0,0,26,0,0,19,4,0,0,0,0,0,11,1,0,1,8,99,0,2,6,0,0,1,0
