Almond Butter,Bread Roll,Bread Sticks,Brown Bread,Brown Eggs,Bruschetta,Bun,Butter,Cage Free Eggs,Cereal,Cereal Drink,Chapati,Cheese,Cheese Block,Cheese Cubes,Cheese Slices,Cheesy Triangle,Chocos,Coconut Milk,Coffee Creamer,Condensed Milk,Corn Flakes,Cream Cheese,Croissant,Curd,Dairy Whitener,Diced Cheese,Eggs,Fat Spread,Flakes,Flavoured Yogurt,Focaccia,Free Range Eggs,Fresh Cream,Fresh Milk,Frozen Yogurt,Fruit Bread,Garlic Bread,Granola,Greek Yogurt,Health Drink,Kadaknath Eggs,Khoya,Kulcha,Loaf,Milk,Milk Bread,Milk Powder,Mishti Doi,Muesli,Multigrain Bread,Non-Dairy Drink,Oat Flour,Oats,Oats Flour,Paneer,Parantha,Pav,Pizza Base,Porridge,Protein Rich Eggs,Pullet Eggs,Quinoa,Regular Vermicelli,Roasted Vermicelli,Salted Butter,Shrikhand,Sourdough,Soy Milk,Speciality Eggs,Tofu,Unsalted Butter,Vermicelli,Wheat Bread,Wheat Flakes,White Bread,White Eggs,Yogurt Drink
0,0,1,114,19,0,67,61,0,32,1,6,6,15,6,73,2,1,1,0,7,10,1,0,232,4,8,7,25,1,65,0,0,11,276,9,1,15,3,54,33,0,3,8,8,116,42,0,42,14,106,0,0,51,0,105,6,11,2,2,6,2,1,6,20,294,3,0,0,10,43,22,0,182,3,97,95,9
0,0,147,857,128,0,312,129,0,258,0,0,34,95,99,340,7,68,1,0,53,101,3,3,2043,43,67,0,11,7,696,0,20,63,3210,0,1085,362,3,123,192,0,20,39,0,1014,652,0,348,73,297,0,1,129,0,1058,407,761,122,1,0,0,1,78,70,742,101,0,0,156,98,53,11,1102,7,1203,850,8
1,147,0,186,62,0,76,65,1,33,1,0,34,29,33,138,4,6,1,0,6,24,5,1,385,8,22,17,5,3,67,0,10,23,442,0,130,70,1,61,56,0,0,13,9,218,78,0,43,26,204,0,0,43,2,263,40,52,8,0,15,2,0,8,17,225,15,3,0,41,54,21,5,289,4,201,242,11
114,857,186,0,2467,0,4710,3394,19,1777,20,143,552,1376,1301,8818,68,501,4,0,367,1421,65,2,44871,402,1057,1902,1066,117,4122,0,117,989,67779,82,633,1167,31,2080,2885,1,55,746,76,16119,1177,0,3163,1284,1837,0,1,3071,16,22301,774,2281,384,7,739,370,14,597,1367,24495,170,0,0,1695,2516,748,44,2883,93,5364,22125,284
19,128,62,2467,0,0,534,388,14,249,6,24,133,204,239,1034,18,77,2,0,91,215,25,5,5380,102,88,99,65,20,580,1,65,171,6006,29,164,256,10,544,575,3,10,75,111,2863,699,0,447,271,1730,0,1,379,5,2873,202,314,46,0,169,27,6,68,135,2470,33,6,0,561,349,154,13,3984,14,1912,1617,90
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67,312,76,4710,534,0,0,1083,8,778,4,253,341,845,562,6370,46,186,1,0,205,429,47,1,12461,170,781,399,459,49,1774,0,6,472,17762,72,96,1629,8,693,1174,3,30,984,180,4142,1641,0,1470,367,1672,0,0,753,11,6453,514,3159,751,0,174,96,4,196,489,7455,54,0,0,274,894,318,6,6778,27,6743,4379,159
61,129,65,3394,388,0,1083,0,7,364,1,35,392,899,794,3026,28,134,1,0,124,274,25,2,5293,84,762,203,190,22,831,3,17,516,6893,25,152,1575,6,366,545,0,12,172,95,2297,1002,0,595,266,1886,0,1,551,3,3350,180,819,154,2,90,44,2,139,334,7971,46,1,0,285,393,439,16,4660,13,3602,2570,59
0,0,1,19,14,0,8,7,0,1,0,0,4,1,5,11,1,0,0,0,0,2,0,0,60,0,1,0,1,0,7,0,0,1,52,0,0,5,1,15,14,2,0,1,3,27,6,0,6,6,20,0,0,0,0,33,1,2,1,0,3,1,0,0,2,21,0,0,0,12,7,1,0,34,1,12,7,2
32,258,33,1777,249,1,778,364,1,0,8,30,140,425,403,1681,25,1019,3,0,139,2611,20,1,4733,163,250,133,113,230,1042,1,20,239,7133,29,157,247,65,486,920,0,16,130,52,3396,672,0,665,1817,638,0,1,2188,15,2515,179,371,109,10,74,32,6,358,788,3454,66,0,0,199,292,97,38,2480,205,2040,1844,113
