A4 Sheet,Acrylic Color,Adapter,Adhesive,Adhesive Kit,Agarbatti Stand,Air Freshener,Air Pump,Air Purifier,Aluminium Foil,Apple Cutter,Apron,Art & Craft Game,Art Kit,Atta Chalan,Baking & Parchment Paper,Ball,Ball Pen,Balloons,Band,Banner,Basket Set,Bath Mug,Bath Towel,Bath Tub,Bathroom Mug,Batten,Battery,Bean Bag Cover,Bean Bag Refill,Beater,Bedside Runner,Beer Glass,Beer Mug,Belan,Bell,Bi-colour Pencils,Binder Clips,Blanket,Blender,Blowpen Kit,Bluetooth Headset,Board,Board Game,Body Patch,Boiler,Book,Bottle,Bottle Opener,Bottle Set,Bowl,Bowl Set,Briefs,Brush Pen,Brushes,Bucket,Bulb,Butter Dish,Cake Decoration Set,Calculator,Camphor / Kapur,Candle,Candle Set,Canister,Canister Set,Car Charger,Car Freshener,Car Polish,Car/Bike Shampoo,Card Game,Carpet,Casserole,Casserole Set,Celebration Kit,Chair Pad,Chakla,Chalk,Charger,Charging Cable,Chipser,Chopper,Chopping Board,Cling Wrap,Clip Set,Cloth Brush,Cloth Clips,Cloth Hanger,Cloth Rope,Cockroach Killer,Cockroach Repellent,Coffee Dripper,Coffee Maker,Coffee Mug,Colander,Colander Basket,Color Kit,Color Pen,Color Set,Color Tubes,Colour Pencils,Colour Set,Combo,Comforter,Compound,Container,Container Set,Cookware Set,Corkscrew,Correction Pen,Cover,Crayons,Cup & Saucer Set,Cup Set,Cushion Cover,Cushion Filler,Cutlery Holder,Cutter Chopper,Cylinder Trolley,Decorative LED Lights,Desktop Calculator,Dessert Bowl Set,Dhoop,Dhoop Cup,Diary,Dicer,Dinner Set,Dish,Disposable Bags,Disposable Bowl,Disposable Food Container,Disposable Fork,Disposable Glass,Disposable Plates,Disposable Spoon,Diya,Diya Baati,Diya Set,Dohar,Door Curtain,Doormat,Double Bedsheet Set,Drainer,Drawers Stand,Drawing Book,Drawing Pen,Drawing Pencils,Dry Iron,Dumbbells,Dustbin,Duster + Marker,Earphones,Edible bowl,Edible spoon,Electric Bat,Electric Chopper,Electric Kettle,Envelope,Eraser,Exam Pad,Extension Cable,Face Tissue,Face Towel Set,Fast Card,File,File Folder,Flash Drive,Flask,Floor Mat,Food Wrapping Paper,Fork Set,Fountain Pen,Fridge Bag,Fridge Basket,Frother,Fruit Basket,Fry Pan,Game,Ganesh Lakshmi Idol,Gangajal,Garbage Bag,Garment Steamer,Gas Lighter,Gas Stove,Gel Crayons,Gel Pen,Geometry Box,Ghee Pot,Gift Set,Gift Wrapping Paper,Glass,Glass Set,Glass lunch Box,Glitter Glue,Glitter Pen,Glue,Glue Drops,Glue Stick,Grater,Greeting Card,Grocery Bag,Gym Bag,Hand Blender,Hand Gloves,Hand Towel,Handi,Handkerchiefs,Hawan Samagri,Highlighter,Hooks,Ice Bucket,Ice Tong,Ice Tray,Ice Tray Set,Ice cream Scoop,Idli Cooker,Idli Stand,Immersion Rod,Incense Sticks / Agarbatti,Induction Cooktop,Insect Killer,Insulation Tape,Jar,Jar Candle,Jar Set,Journal,Jug,Juice Glass Set,Juicer,Kadai,Kettle,Kids Chair,Kids Study Table,Kit,Kitchen Basket,Kitchen Cloth,Kitchen Gloves,Kitchen Rack,Kitchen Scissors,Kitchen Set,Kitchen Tool Set,Kitchen Towel,Kitchen Towel Roll,Kitchen Trolley,Knife,Knife Set,Kumkum,LED Bulb,Ladle,Laptop Bag,Laptop Bed Table,Laptop Stand,Laundry Bag,Laundry Basket,Lemon Squeezer,Lifter,Lighter & Knife Set,Liners,Lint Roller,Lizard Repellent,Lock,Long Notebook,Lunch Bag,Lunch Box,Marker Set,Masala Box,Mask Chain,Mat,Matchbox,Mattress Protector,Mechanical Pencil,MicroSD Card,Microwave Bowl Set,Milk Mug,Mixer Grinder,Mixing Bowl,Mobile Holder,Modelling Clay Set,Modelling Dough,Moli Roll,Mortar & Pestle,Mosquito Bat,Mosquito Coil,Mosquito Killer,Mosquito Killer Machine,Mosquito Repellant Incense Sticks,Mosquito Repellent,Mosquito Repellent Cream,Mosquito Repellent Gel,Mosquito Repellent Patch,Mosquito Repellent Roll On,Mosquito Repellent Spray,Mould,Mould Set,Muffin Tray,Mug,Mug Set,Multi Utility Basket,Multipurpose Paper,Naphthalene Balls,Napkin Holder,Napkins,Net Cover,Notebook,Notebook Set,Notepad,Notes,Oil,Oil Dispenser,Oil Pastels,Okhli,Organizer,Page Markers,Paint Brush,Paint Colors,Painting Kit,Pan,Papad Jali,Paper Clips,Paper Cutter,Paper Gift Bag,Peeler,Peeler & Grater,Peg Measurer,Pen,Pen Holder,Pen Set,Pen Stand,Pencil,Pencil Box,Pencil Pouch,Pencils,Pens,Permanent Marker,Pickle Set,Pillow,Pizza Cutter,Plain Bucket,Planner,Plastic Crayons,Plate,Plate Set,Plate Stand,Playing Cards,Pocket Tissue,Poker Chips,Pooja Bell,Pooja Cloth,Pooja Kit,Pooja Oil,Poppers,Poster Color,Pot,Potato Masher,Power Bank,Prayer Mat,Pressure Cooker,Printed Bucket,Protective Set,Pudding Set,Pump,Punch,Punch Machine,Push Pins,Racket,Rat killer cake,Rechargeable Batteries,Refill,Repellent,Ribbon,Ribbon Roll,Rice Cleaner / Sieve,Rice Light,Roller Ball Pen,Roller Pen,Room Freshener,Room Heater,Rope,Roti Cover,Ruffpad,Salt & Pepper Shaker,Sandwich Maker,Sauce Pan,Scale,School Bag,Scientific Calculator,Scissors,Scoop,Screw Driver Kit,Scrub Pad,Sealant,Serving Bowl,Set,Sewing Kit,Shaker,Sharpener,Shoe Fix,Shoe Rack,Shot Glass,Silicone Brush,Silver Coin,Single Bedsheet Set,Sink Drainer,Sipper,Sketch Book,Sketch Pens,Skimmer Set,Slicer & Grater,Snack Set,Soap Case,Soap Case with Lid,Socks,Sofa Cover,Soft Toy,Soft Toy Cushion,Soup Set,Spatula,Spice Box,Spoon,Spoon Set,Spray,Squeezer,Stamp Pad,Stapler,Stapler Pin,Stationery Kit,Stationery Set,Steam Iron,Steamer,Sticky Notes,Stool,Strainer,Straw,Straws,Strips,Table Cover,Table Fan,Tadka Pan,Tape,Tawa,Tea Light Candles,Tea Spoon Set,Tennis Ball,Thermal Set,Thermowagon,Tissue,Toilet Roll,Tong/Pakad,Tool Kit,Toothpick,Tope,Tope Set,Torch,Travel Mug,Tray,Tray Set,Tumbler Set,Turner,Type C Cable,USB Cable,USB Charger,USB-A Cable,Umbrella,Utensil Basket,Vaccum Flask,Varnish,Vegetable Chopper,Wall Decor,Water Bottle,Water Camper,Water Color Cakes,Water Color Pencils,Water Color Tube,Wax Crayons,Weight Bands,Whisk,Whisky Glass Set,Wine Server,Wireless Mouse,Yoga Mat,Yoghurt Maker,Zip Lock Bag
0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5,3,0,27,0,0,4,0,0,0,1,0,2,0,13,1,2,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,20,64,0,1,1,1,3,2,5,2,2,7,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,0,0,2,0,0,3,0,0,4,0,2,7,0,0,1,0,0,0,2,0,2,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,5,0,0,1,0,0,39,9,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,13,0,4,0,0,6,1,0,0,1,0,1,0,0,0,2,2,2,1,1,0,0,0,0,0,0,2,2,2,4,0,0,1,1,1,0,0,0,8,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,8,0,2,1,0,4,1,0,0,0,0,2,0,0,0,0,0,4,0,0,3,0,2,0,4,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,6,6,1,5,0,0,1,0,2,0,0,0,1,0,2,3,1,0,13,0,9,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,0,1,0,1,1,0,0,0,1,2,1,1,0,2,1,0,0,0,0,9,1,5,3,0,2,0,0,0,4,0,0,0,2,0,0,1,9,2,2,1,0,0,2,0,0,0,0,0,9,10,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
5,0,5,0,70,0,277,0,0,86,1,1,0,11,0,15,0,164,5,16,5,1,15,0,0,1,0,360,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,8,1,1,0,4,10,6,0,3,0,0,0,9,0,0,0,0,42,6,0,0,1,5,17,0,0,1,1,1,2,2,0,0,1,11,17,1,0,1,14,17,21,25,9,36,98,1,0,0,2,3,0,0,0,85,0,7,0,0,0,74,0,5,0,0,11,4,0,0,3,0,0,5,0,4,14,0,0,126,2,0,0,0,0,0,2,8,18,15,22,15,0,23,0,0,0,0,4,0,0,68,0,0,0,0,3,10,0,0,0,8,0,0,23,15,0,12,77,0,0,3,4,0,1,0,20,2,2,4,0,1,0,0,6,0,2,263,0,51,0,0,137,16,0,1,44,2,6,5,0,3,478,364,494,4,0,1,0,0,3,1,0,2,8,20,46,0,3,10,2,1,0,0,0,140,0,7,98,0,2,5,0,0,0,8,0,0,0,0,0,0,25,10,0,29,0,2,16,116,0,14,11,0,22,1,1,0,0,3,8,0,1,3,0,1,2,7,42,8,2,24,0,1,0,77,0,0,0,0,4,0,0,0,13,31,0,0,0,7,70,45,11,105,17,4,3,11,9,0,0,0,2,2,15,55,31,2,188,0,129,0,11,0,2,4,6,0,0,14,3,0,0,0,3,2,35,0,15,1,0,1,0,0,11,65,4,0,5,0,0,0,0,0,0,0,14,0,3,0,13,9,0,0,0,4,29,3,7,0,3,0,0,0,0,0,0,10,12,0,0,1,4,0,62,5,1,27,0,2,0,0,127,0,4,0,0,0,1,0,7,0,0,55,0,6,21,19,0,0,5,0,3,33,0,1,0,2,0,13,0,0,22,0,0,0,26,1,7,0,0,1,0,0,0,1,15,14,3,0,47,25,5,21,0,0,79,3,26,25,0,14,0,0,1,359,1,1,0,0,0,0,3,128,8,4,21,0,0,0,1,1,0,0,0,0,0,0,1,11,0,0,0,4,2,9,0,0,0,5,24,0,3,0,0,0,1,1,18
0,0,3,70,0,0,18,0,0,10,1,0,0,9,0,3,0,26,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,3,2,4,1,8,8,0,0,0,0,2,0,0,0,15,0,2,0,0,0,3,1,0,0,0,2,0,0,0,2,0,0,0,0,1,3,0,0,10,0,0,0,0,0,0,1,0,3,1,2,1,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,1,0,0,0,1,0,1,5,3,0,1,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,14,0,4,0,0,20,6,0,2,2,0,0,1,0,0,22,27,29,1,0,0,0,0,0,0,0,2,1,7,9,0,0,1,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,8,0,1,1,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,4,2,0,5,0,1,0,5,0,0,0,0,0,0,0,0,2,5,0,0,0,1,5,4,1,7,0,1,0,1,0,0,0,0,0,0,5,15,1,2,7,0,17,0,1,0,1,1,0,0,1,4,0,0,0,0,1,1,4,0,0,0,0,0,0,0,3,13,0,0,2,0,0,1,0,0,0,0,6,0,0,0,4,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,7,0,3,2,1,0,0,1,0,0,1,0,2,0,0,0,2,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,3,2,1,1,4,4,2,8,0,0,14,1,3,0,0,3,0,0,0,36,0,0,0,0,0,0,0,7,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,4
0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,1,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,2,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,7,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,27,277,18,3,0,0,0,689,6,2,0,9,1,56,0,190,3,60,9,0,202,8,2,19,0,979,0,0,1,1,3,5,6,1,0,2,16,20,0,0,0,14,0,9,0,9,39,36,2,17,0,0,0,263,1,1,0,0,464,42,0,0,6,8,383,1,1,4,0,5,5,10,1,2,0,19,35,0,4,9,47,80,159,179,132,180,1054,13,0,0,10,26,0,0,0,29,0,4,0,0,0,14,8,33,2,0,5,18,0,0,36,0,0,48,0,12,31,0,1,1275,15,0,5,4,3,1,27,26,59,78,119,68,1,188,1,0,0,6,10,2,2,55,0,0,1,0,61,12,1,2,0,50,0,0,24,7,2,57,1045,1,6,0,4,0,4,0,150,20,5,23,1,0,1,2,2,4,14,2285,0,214,1,0,156,13,0,31,18,1,44,23,0,0,107,64,141,44,4,2,0,0,21,11,0,21,15,21,115,0,2,23,10,1,0,1,1,1427,0,36,68,0,28,10,0,4,0,17,1,4,0,0,0,6,230,40,0,76,0,18,140,906,0,97,32,4,136,17,0,0,0,32,111,6,3,11,0,4,21,4,43,25,2,14,1,3,1,409,0,1,0,0,40,0,1,0,8,16,1,2,0,64,934,659,127,1453,77,13,11,59,39,1,0,0,91,2,111,40,601,20,1762,1,151,0,15,0,25,15,1,1,0,14,0,0,0,0,10,2,13,0,50,2,4,0,0,0,20,57,0,0,7,0,0,0,1,0,3,0,7,0,9,0,45,45,1,1,1,7,343,2,4,0,8,0,1,2,0,0,0,15,6,0,0,4,26,0,628,28,0,13,1,8,0,0,5491,0,9,0,0,1,1,2,5,0,0,60,0,12,160,5,2,0,3,0,3,8,1,6,1,5,0,39,3,0,12,1,2,0,239,12,18,1,4,1,1,6,0,7,57,96,16,1,33,14,1,9,3,1,81,61,134,28,0,7,1,0,1,127,3,14,1,0,0,0,21,1564,23,5,113,0,0,3,3,2,0,0,5,1,1,0,1,21,3,0,0,14,5,44,0,0,0,0,6,0,12,2,1,0,7,1,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,86,10,1,689,0,0,0,7,1,0,5,0,109,0,59,6,23,2,0,13,1,0,3,0,233,0,0,1,2,0,0,2,0,0,1,0,7,0,0,0,5,0,3,0,3,8,14,0,0,0,0,0,29,0,0,1,0,71,2,0,0,0,1,19,0,0,1,0,1,1,3,0,0,0,4,6,0,0,3,117,28,33,17,18,31,182,1,0,0,1,10,0,0,0,11,0,1,0,0,0,4,1,25,2,0,4,7,0,0,7,0,0,10,0,3,7,0,0,490,4,0,2,1,0,1,21,121,32,38,88,47,0,77,0,0,0,2,2,0,0,27,0,0,0,0,4,2,0,0,0,7,0,0,6,6,2,5,376,0,0,0,1,0,1,0,389,4,1,12,0,0,2,1,1,0,3,2208,0,93,0,0,62,3,0,2,13,0,4,25,0,1,37,15,55,19,0,0,1,0,7,1,0,4,11,10,6,0,3,5,0,0,0,2,0,427,0,6,18,0,2,1,0,1,0,9,0,0,0,0,0,1,97,10,0,11,0,6,47,730,0,33,14,1,24,6,1,0,0,4,12,1,3,3,0,1,4,0,9,31,3,6,0,3,1,224,0,0,0,0,13,0,0,0,0,9,0,0,0,23,171,84,11,304,11,2,1,9,8,0,0,0,11,0,13,15,49,7,1718,0,53,0,4,0,2,5,0,0,0,4,1,0,0,0,6,3,2,0,27,2,0,0,0,0,3,25,0,0,5,0,0,0,0,0,1,0,6,0,1,0,15,17,0,0,1,6,50,1,1,0,4,0,0,1,0,0,0,6,0,0,0,1,10,0,114,2,0,5,0,1,0,0,269,0,1,1,0,0,0,0,2,0,0,14,0,3,25,0,0,0,2,0,3,7,0,1,0,0,2,12,1,0,5,0,0,0,25,1,1,0,1,0,0,2,0,2,22,14,7,1,4,5,0,4,0,0,10,14,45,23,1,1,0,0,1,42,0,2,0,0,0,0,11,530,12,2,50,0,0,1,2,1,0,0,1,0,0,0,0,7,1,1,0,3,3,16,0,0,0,0,3,0,7,0,0,0,2,1,70
