Aloo Tikki,Alphabytes,Bacon,Bar,Batter,Beans,Bites,Breakfast Bar,Breakfast Mix,Capers (Kachra),Chapati,Cheesy Triangle,Chicken,Chicken & Cheese Nuggets,Chicken Breast,Chicken Meatballs,Chicken Sausage,Chicken Tikka,Coconut,Combo,Crispy Potato,Cup Noodles,Curry,Custard Powder,Dal Makhani,Dessert Mix,Domestic Pasta,Dosa Mix,Drink Mix,Energy Bar,Fingers,Fish,Flakes,Flavoured Instant Noodles,Flavoured Milk,French Fries,Fries,Fruit Cocktail,Gherkins,Green Peas,Hakka Noodles,Ham,Health Drink,Idli,Instant Mix,Instant Pasta,Jalapeno,Kabuli Chana,Kala Chana,Kebab,Khichdi Mix,Kimchi,Macaroni,Masala Mix,Mix,Mixed Vegetables,Momos,Mushroom,Naan,Noodles,Nori Sheet,Nugget,Nuggets,Nutrition Bar,Olives,Pani Puri,Parantha,Paratha,Parota,Pasta,Pasta Kit,Patty,Peppercorns,Pineapple,Pizza Pocket,Popcorn,Pops,Prawns,Protein Bar,RTE Wrap,Ragi Flour,Rajma,Raw Chicken,Ready to Eat,Rice Flour,Rice Masala,Rice Paper,Salami,Samosa,Sauce,Sausage,Smiles,Soup,Soya Chaap,Soyabeans,Spaghetti,Spice Mix,Spring Roll,Sweet Corn,Taco Kit,Taco Shells,Thepla,Tomatoes,Tortilla,Upma,Vada,Wedges
0,84,6,0,323,2,7,11,375,0,2,154,20,15,3,4,25,1,26,0,3,115,0,3,1,19,326,2,5,7,872,4,0,183,0,2436,56,1,0,481,19,7,0,30,105,413,0,0,0,225,0,0,292,2,18,70,216,0,5,1953,0,27,3158,36,19,7,89,10,2,89,0,1192,0,9,576,54,2,13,25,40,1,0,3,96,0,9,0,98,13,0,104,882,99,110,0,0,2,14,294,0,0,1,0,10,18,77,49
84,0,0,0,51,0,2,2,61,0,0,86,3,4,1,0,8,0,1,0,0,12,0,2,0,2,24,0,0,0,72,0,0,15,0,325,20,1,0,41,1,2,0,7,7,42,0,0,0,28,0,0,22,0,7,7,46,0,1,186,0,9,273,5,0,0,10,4,0,9,0,61,0,1,189,27,1,2,5,2,0,0,0,10,0,1,0,7,2,0,15,127,9,18,0,0,0,0,25,0,0,0,0,0,1,12,3
6,0,0,0,9,1,0,3,4,0,0,0,5,2,6,2,21,1,0,0,0,3,0,0,1,0,12,0,0,0,5,10,0,20,0,14,8,0,0,8,1,36,0,1,1,9,0,0,0,60,0,0,3,0,1,4,74,0,0,48,0,5,27,5,2,1,3,1,0,19,0,24,0,1,1,14,0,27,5,3,0,0,4,9,0,0,0,117,1,0,157,2,6,5,0,0,0,3,7,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,51,9,0,0,2,2,58,2537,0,65,47,13,14,5,2,72,1,737,5,0,448,0,4,4,150,882,50,18,66,140,5,0,653,2,664,27,11,0,2257,88,18,1,82,1337,881,0,0,0,216,0,0,650,5,64,123,350,0,5,6053,0,43,688,226,62,18,204,19,50,333,0,348,0,15,150,45,1,55,266,48,18,0,18,384,0,52,0,99,4,0,193,223,341,206,0,0,8,7,678,0,0,0,0,5,80,52,11
2,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,14,0,0,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,6,0,0,7,1,2,0,0,0,0,0,7,0,0,0,0,0,1,0,0
7,2,0,0,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,5,1,0,4,0,24,1,0,0,3,0,1,0,1,2,4,0,0,0,3,0,0,2,0,0,0,14,0,5,13,0,0,37,0,0,0,16,0,0,2,0,8,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,1,1,1,0,0,0,9,1,0,0,0,0,0,0,0,0
11,2,3,0,58,0,0,0,88,0,1,1,0,1,1,0,3,0,2,0,0,71,0,1,2,3,41,0,1,196,5,1,0,80,0,20,0,0,0,22,2,1,0,0,15,87,0,1,0,11,0,0,12,0,0,7,6,0,0,242,0,0,19,1905,4,0,7,2,0,20,0,11,0,1,8,1,0,4,878,8,0,0,0,23,0,1,0,16,1,0,16,2,20,2,0,0,0,0,18,0,0,0,0,0,6,2,1
375,61,4,0,2537,4,2,88,0,0,18,42,8,10,6,6,39,2,89,9,1,789,0,6,16,165,996,22,13,45,191,4,0,880,0,598,24,9,0,1066,55,9,1,63,2495,1883,0,10,4,137,1,0,1129,6,113,130,190,0,3,7326,0,18,689,289,25,26,129,19,19,278,0,295,0,7,211,45,0,28,236,46,15,5,6,2099,0,44,0,106,2,0,133,229,519,183,0,0,8,4,577,0,0,0,0,3,1358,40,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,65,0,0,1,18,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,5,0,2,0,0,0,6,1,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,2,0,0,28,0,0,6,3,0,0,8,0,21,1,0,1,0,0,2,0,0,0,3,0,0,0,0,22,0,1,0,0,0,0,2,1,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0
154,86,0,0,47,0,6,1,42,0,0,0,6,9,0,0,6,0,1,0,0,14,0,1,0,4,22,0,1,2,191,2,0,36,0,368,30,0,0,59,1,3,0,2,14,61,0,0,0,81,0,0,24,0,0,4,123,0,0,204,0,9,500,7,3,0,17,5,0,5,0,91,0,3,510,37,2,5,2,6,0,0,1,16,0,1,0,19,4,0,17,102,15,22,0,0,0,7,51,0,0,0,0,1,7,27,9
20,3,5,0,13,0,0,0,8,0,0,6,0,13,15,4,25,6,3,0,0,11,0,0,0,0,8,0,0,2,37,7,0,15,0,49,39,0,0,15,0,4,0,0,3,15,0,0,0,214,0,0,2,0,1,2,85,0,2,70,0,24,106,4,1,0,4,4,0,2,0,53,0,0,20,34,0,14,3,7,0,0,3,11,0,1,0,56,1,0,64,11,3,2,0,0,1,2,8,0,0,0,0,1,0,1,1
15,4,2,0,14,0,0,1,10,0,0,9,13,0,1,1,27,0,1,0,0,20,0,0,0,2,13,0,0,0,54,3,0,23,0,94,23,0,0,20,1,9,0,0,1,25,0,1,0,79,0,0,7,0,0,3,56,0,0,74,0,19,178,2,1,0,4,1,0,8,0,44,0,0,40,64,0,5,2,2,0,0,4,8,0,1,0,25,0,0,40,34,8,1,0,0,0,1,11,0,0,0,0,0,1,1,3
