Almond Milk,Banana Chips,Beans,Beer,Berries Mix,Biscuit,Bread Crumbs,Butter,Cake Mix,Candy,Cardamom Whole,Cashewnut,Center Filled Biscuits,Cereal,Cereal Bar,Chai,Cheese,Chilli Sauce,Chips,Chocolate,Chocolate Bag,Chocolate Bar,Chocolate Box,Cocoa Powder,Coconut Cream,Coconut Milk,Coffee Beans,Coffee Creamer,Cold Coffee,Combo,Cookies,Cooking Spray,Coriander Seeds,Corn Flakes,Cow Ghee,Cracker,Crackers,Cream Biscuits,Crisps,Cup Noodles,Curd,Curry Paste,Dal,Dark Chocolate,Dates,Dip,Dressing,Energy Drink,Extra Virgin Olive Oil,Fish,Flavoured Green Tea Bags,Flavoured Water,Flour,Frosting,Gherkins,Glucose & Milk Biscuits,Granola,Grated Cheese,Green Tea,Green Tea Bags,Hing Powder,Horse Gram,Instant Coffee,Jaggery,Jaggery Powder,Jalapeno,Jam,Ketchup,Kodo Millet,Lozenges,Macaroni,Makhana,Mango Drink,Marinade,Marmalade,Marshmallow,Mayonnaise,Methi Seeds,Milk Chocolate,Milkshake,Mix,Mix Flour,Moong Dal,Moth Dal,Mouth Freshener,Muesli,Nachos,Noodles,Oat Drink,Oats,Olive Oil,Olives,Organic Ajwain Seeds,Organic Almonds,Organic Arhar Dal,Organic Atta,Organic Bajra Flour,Organic Basmati Rice,Organic Bay Leaf,Organic Beet Root Powder,Organic Besan,Organic Black Pepper,Organic Brown Basmati Rice,Organic Brown Sugar,Organic Buckwheat Flour,Organic Cardamom Whole,Organic Cashews,Organic Chana Dal,Organic Chia Seeds,Organic Chilli Powder,Organic Chilli Whole,Organic Cinnamon Powder,Organic Cinnamon Whole (Dalchini),Organic Clove Whole,Organic Coconut Flour,Organic Coconut Oil,Organic Coriander Powder,Organic Coriander Seeds,Organic Corn Flour,Organic Cow Ghee,Organic Cumin Powder / Jeera Powder,Organic Cumin Seeds / Jeera Seeds,Organic Daliya,Organic Flax Seeds,Organic Flaxseed Oil,Organic Foxtail Millet,Organic Garam Masala,Organic Ghee,Organic Ginger Powder,Organic Groundnut Oil,Organic Hing Powder,Organic Jackfruit Flour,Organic Jaggery,Organic Jaggery Powder,Organic Jowar Flour,Organic Kabuli Chana,Organic Kala Chana,Organic Khapli Wheat Atta,Organic Kitchen King Masala,Organic Kodo Millet,Organic Kolam Rice,Organic Maida,Organic Makhana,Organic Malka Masoor,Organic Mamra Almonds,Organic Masoor Dal,Organic Masoor Sabut,Organic Methi Seeds,Organic Mix Dal,Organic Moong Dal (Chilka),Organic Moong Dal (Dhuli),Organic Moong Sabut,Organic Moringa Powder,Organic Murmura,Organic Mustard Oil,Organic Mustard Seeds,Organic Onion Powder,Organic Peanut Oil,Organic Peanuts,Organic Pepper Powder,Organic Peppercorns,Organic Pink Salt,Organic Puffed Rice,Organic Pumpkin Seeds,Organic Quinoa,Organic Quinoa Seeds,Organic Ragi Flour,Organic Raisins,Organic Rajma,Organic Rajma Chitra,Organic Rava,Organic Raw Sugar,Organic Red Poha,Organic Red Rajma,Organic Red Rice,Organic Rice Flour,Organic Rock Salt,Organic Sattu,Organic Saunf Seeds,Organic Sesame Oil,Organic Sesame Seeds,Organic Singhara Atta,Organic Sonamasuri Rice,Organic Sooji,Organic Sugar,Organic Sunflower Oil,Organic Sunflower Seeds,Organic Tamarind Whole,Organic Turmeric Powder,Organic Urad (Sabut),Organic Urad Dal (Dhuli),Organic Vinegar,Organic Walnut,Organic Wheat Grass Powder,Organic White Poha,Palm Jaggery,Pancake Mix,Paneer,Pasta,Paste,Peanut Butter,Peanuts,Pesticide Free Atta,Pesticide-Free  Peanuts,Pesticide-Free Ajwain Seeds,Pesticide-Free Arhar Dal,Pesticide-Free Bajra,Pesticide-Free Bajra Flour,Pesticide-Free Barnyard Millet,Pesticide-Free Besan,Pesticide-Free Broken Rice,Pesticide-Free Brown Basmati Rice,Pesticide-Free Brown Rice,Pesticide-Free Chana Dal,Pesticide-Free Chilli Whole,Pesticide-Free Coriander Seeds,Pesticide-Free Cumin Seeds / Jeera Seeds,Pesticide-Free Daliya,Pesticide-Free Flax Seeds,Pesticide-Free Foxtail Millet,Pesticide-Free Honey,Pesticide-Free Idli Rice,Pesticide-Free Jaggery Powder,Pesticide-Free Jowar,Pesticide-Free Jowar Flour,Pesticide-Free Kabuli Chana,Pesticide-Free Kala Chana,Pesticide-Free Kodo Millet,Pesticide-Free Little Millet,Pesticide-Free Moong (Sabut),Pesticide-Free Moong Dal (Chilka),Pesticide-Free Moong Dal (Dhuli),Pesticide-Free Mustard Seeds,Pesticide-Free Peppercorns,Pesticide-Free Poha,Pesticide-Free Proso Millet,Pesticide-Free Puffed Rice,Pesticide-Free Quinoa,Pesticide-Free Rajma,Pesticide-Free Rajma Chitra,Pesticide-Free Raw Sonamasuri Rice,Pesticide-Free Red Rajma,Pesticide-Free Regular Rice,Pesticide-Free Roasted Sooji,Pesticide-Free Sattu,Pesticide-Free Seasoning,Pesticide-Free Sharbati Wheat,Pesticide-Free Sooji,Pesticide-Free Steam Sonamasuri Rice,Pesticide-Free Sugar,Pesticide-Free Tamarind Whole,Pesticide-Free Urad Dal,Pesticide-Free Urad Dal (Chilka),Pesticide-Free Urad Dal (Dhuli),Pesticide-Free Urad Gota,Pizza & Pasta Sauce,Poha,Popcorn,Potato Chips,Preserve,Puffs,Pumpkin Seeds,Pure Olive Oil,Ragi Flour,Rajma,Ready to Eat,Red Poha,Rice,Rice Paper,Rings,Rock Salt,Sabzi Masala,Salad Dressing,Salsa Dip,Sandwich Cream Biscuits,Sandwich Spread,Sauce,Seasoning Mix,Shaped Chocolates,Soft Drink,Sooji,Soup,Spaghetti,Sparkling Water,Spice,Spread,Stock,Sugar,Syrup,Tamarind Whole,Tea Bags,Tomato Ketchup,Tortilla,Tuna,Urad Dal,Vermicelli,Vinegar,Wafer Bar,Wafer Roll,Wafers,White Chocolate,Yeast Extract
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,2,0,2,0,0,0,0,0,0,1,3,1,0,2,0,1,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,4,1,2,0,0,1,8,10,1,16,0,0,0,0,1,0,1,1,56,0,0,0,0,2,1,6,4,1,1,1,0,6,0,0,0,1,0,0,0,2,0,0,0,4,0,1,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,15,0,0,0,1,1,3,3,1,0,1,0,0,4,0,1,2,1,0,1,2,1,0,1,0,1,0,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,4,3,2,0,3,4,3,3,2,0,0,0,0,4,3,0,0,3,0,2,2,0,0,0,1,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,1,0,0,0,0,0,1,4,0,2,0,12,0,4,0,0,1,1,10,0,0,0,8,0,0,0,0,4,0,1,0,0,0,0,5,12,4,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,3,0,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,2,0,0,1,0,4,0,0,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,0,6,0,0,0,1,1,1,1,3,0,0,1,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,3,1,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,1,0,0,1,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0
