Acne Cream,Acne Relief Patches,After Shave Balm,After Shave Lotion,Amla Oil,BB Cream,Baby Toothpaste,Bathing Bar,Beard Colour,Beard Oil,Beard Wash,Beard Wax,Bleach,Body Butter,Body Lotion,Body Mist,Body Oil,Body Polishing Oil,Body Scrub,Body Wash,Brush,Castor Oil,Cleanser,Cleansing Milk,Coconut Oil,Cold Cream,Cologne Spray,Comb,Combo,Conditioner,Cotton Balls,Day Cream,Dental Floss,Dental Gel,Deodorant Spray,Disposal Bag,Dry Shampoo,Eau de Parfum,Electric Toothbrush,Eye Cream,Eyelash Curler,Eyeliner,Face Cream,Face Gel,Face Lotion,Face Mask,Face Mist,Face Pack,Face Pack Brush,Face Scrub,Face Serum,Face Wash,Face Wipes,Facial Kit,Foot Cream,Foot Scrubber,Foundation,Gel,Gift Box,Grooming Kit,Hair Brush,Hair Cleanser,Hair Colour,Hair Comb,Hair Cream,Hair Dryer,Hair Fixer,Hair Gel,Hair Mask,Hair Mist,Hair Oil,Hair Pin,Hair Removal Cream,Hair Serum,Hair Spray,Hair Treatment,Hair Wash Powder,Hair Wax,Hand Cream,Hand Wash,Henna,Intimate Wash,Kajal,Kids Toothbrush,Kit,Lip Balm,Lip Butter,Loofah,Makeup Brush,Mascara,Men's Deodorant,Men's Perfume,Men's Razor,Menstrual Cup,Micellar Water,Moisturizer,Moisturizing Cream,Moisturizing Lotion,Mouth Spray,Mouthwash,Multipurpose Cream,Nail Clipper,Nail Paint Remover,Night Cream,Oil,Onion Oil,Pain Relief Patch,Panty Liners,Perfume,Perfume Spray,Period Panty,Petroleum Jelly,Pins,Powder,Powder Puff,Pumice Stone,Razor,Razor Cartridge,Roll On,Rose Water,Safety Pin,Sanitary Pads,Scalp Tonic,Scrub,Serum,Shampoo,Shampoo & Conditioner,Shaving Brush,Shaving Cream,Shaving Foam,Shaving Gel,Shaving Kit,Sheet Mask,Sindoor,Skin Bleach,Skin Cream,Skin Oil,Soap,Strips,Sunscreen,Sunscreen Gel,Talc,Tampons,Toner,Tooth Powder,Toothbrush,Toothpaste,Under Eye Cream,Urination Device,Wax Strips,Wet Wipes,Wipes,Women's Deodorant,Women's Perfume,Women's Razor
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,1,0,0,0,0,0
1,0,0,0,0,2,0,1,0,0,0,0,0,1,6,1,0,1,4,18,1,0,0,0,2,0,0,5,0,8,4,1,2,0,4,0,0,0,0,2,1,0,7,2,1,8,0,11,1,9,9,25,4,1,1,1,0,17,0,0,1,0,2,0,0,0,0,0,1,0,8,1,4,0,0,0,0,0,2,10,0,5,3,0,3,3,1,4,0,2,0,0,1,0,0,2,2,2,0,5,0,3,3,1,0,0,4,4,2,0,0,0,0,1,3,1,8,3,11,3,2,18,0,2,0,16,0,0,1,0,1,0,19,0,2,0,0,16,19,8,0,2,1,4,0,11,19,0,0,5,3,0,1,0,21
0,0,0,18,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,19,0,0,0,0,9,0,1,0,0,3,0,1,0,0,12,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,21,0,0,0,1,0,4,0,0,0,1,5,0,1,0,0,1,0,0,5,0,5,2,0,0,0,0,0,17,0,1,0,0,0,3,0,2,0,0,1,0,19,1,0,2,2,1,0,4,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1,16,10,7,0,0,8,0,7,0,17,1,17,47,53,9,2,1,0,0,0,0,30,2,2,0,6,0,0,0,10,27,0,0,1,1,0,1,0,3
0,0,18,0,1,4,0,13,2,0,0,0,0,0,91,2,1,0,4,163,4,1,0,0,46,0,11,4,1,73,4,10,0,1,196,0,0,5,1,1,1,0,47,0,4,10,0,15,2,5,1,212,4,1,0,3,0,31,0,5,2,24,50,0,7,0,0,14,1,0,83,1,35,15,0,0,0,0,3,218,9,11,10,1,4,10,1,9,0,0,8,6,350,1,0,10,24,15,1,60,2,13,2,4,0,8,0,1,13,0,0,2,0,3,0,1,103,152,57,5,0,81,0,21,0,167,13,145,448,441,82,4,10,1,9,3,0,357,0,24,1,103,3,1,1,111,317,1,0,3,9,0,3,0,28
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,13,0,1,1,0,0,0,0,0,7,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,7,2,1,0,0,1,0,0,0,0,0,0,23,0,0,0,4,0,0,0,3,16,0,0,0,0,0,0,0,0
0,2,0,4,0,0,0,2,0,0,0,0,0,1,24,0,0,0,1,28,0,0,0,0,22,3,0,3,0,24,2,13,0,0,47,0,0,0,0,2,1,1,37,1,5,10,0,27,2,4,5,117,5,2,1,0,1,19,0,0,0,9,32,0,0,0,0,3,0,0,30,2,16,8,0,0,0,0,2,44,4,4,25,3,0,8,1,1,0,3,0,1,4,0,0,3,13,10,0,5,2,2,9,4,0,1,1,5,0,1,0,1,0,10,0,1,4,3,13,7,0,58,0,29,0,54,1,0,3,2,0,0,15,0,17,2,0,106,6,25,1,26,1,5,1,22,75,0,0,4,2,0,6,0,12
0,0,0,0,0,0,0,2,0,0,0,0,0,1,14,0,0,0,1,14,0,0,0,0,15,0,0,3,0,11,2,0,0,0,9,0,0,0,0,0,0,0,3,0,1,3,0,1,0,2,1,20,1,0,2,2,0,7,0,0,0,1,6,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0,2,49,3,5,1,22,0,3,0,3,0,0,0,0,1,0,0,0,1,3,0,4,0,0,4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,32,0,5,0,25,2,0,1,1,0,0,4,0,0,0,0,67,0,5,0,8,1,0,0,38,126,0,0,2,1,0,0,1,4
1,1,4,13,0,2,2,0,0,0,0,0,0,1,114,3,1,0,6,195,2,1,1,0,115,4,9,7,3,90,3,4,0,0,113,1,0,2,0,1,0,0,34,2,10,7,0,26,1,14,5,267,1,0,2,2,0,42,0,0,1,29,63,0,5,0,0,6,2,0,128,0,31,21,0,0,0,0,3,491,24,21,12,8,3,6,0,19,0,1,3,8,29,0,0,10,16,23,1,70,3,9,12,11,0,4,1,9,1,1,0,0,1,4,2,9,13,16,41,10,0,195,0,31,1,376,49,1,24,16,9,0,19,0,3,0,0,1001,2,32,0,97,7,4,3,183,755,4,1,10,13,0,7,1,22
0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,9,0,2,0,0,0,2,0,0,0,1,20,0,1,0,0,4,0,0,3,0,7,3,0,0,0,1,0,6,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,1,0,5,0,0,2,1,0,0,1,0,2,0,0,7,0,2,0,2,0,0,0,3,6,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
