Biryani Paste,Broth Powder,Cheese Sauce,Cheese Spread,Chilli,Chilli Oil,Chilli Pickle,Chilli Sauce,Chocolate Spread,Chutney,Chyawanprash,Coconut Cream,Coconut Milk,Combo,Cooking Spray,Creamy Peanut Butter,Crunchy Peanut Butter,Curry Paste,Dip,Dressing,Flavoured Mayonnaise,Garlic Paste,Ginger Garlic Paste,Ginger Paste,Gravy,Gravy Masala,Honey,Hummus Dip,Instant Mix,Jam,Ketchup,Lime Pickle,Mango Pickle,Mayonnaise,Miso Paste,Mixed Pickle,Murabba,Pasta Sauce,Peanut Butter,Pickle,Pizza & Pasta Sauce,Preserve,Puliogare Paste,Ready to Cook,Relish,Salad Dressing,Salsa,Salsa Dip,Sandwich Spread,Sauce,Schezwan Chutney,Soy Sauce,Spread,Tahini,Tamarind Paste,Tomato Ketchup,Tomato Paste,Tomato Puree,Vinegar,Wasabi Paste
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,5,0,1,0,0,0,0,2,0,1,2,0,0,3,0,0,0,0,1,1,7,0,0,1,0,1,0,0,2,10,1,0,0,0,0,2,0,1,0,0
0,0,6,0,0,0,61,521,445,137,33,0,114,54,0,145,218,0,373,200,678,89,495,47,0,0,322,135,0,681,229,26,103,1903,0,98,1,10,177,42,1174,4,3,2,3,71,0,69,1228,1751,242,200,109,0,42,1739,7,279,230,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,90,24,146,0,0,5,2,0,21,31,1,14,7,35,20,111,9,0,0,62,2,0,125,34,175,559,140,0,437,3,0,20,160,72,0,5,0,0,1,0,8,57,273,80,54,8,0,12,342,1,19,50,0
0,0,1,521,0,0,90,0,181,154,40,0,77,30,0,87,148,2,112,136,342,82,655,55,0,0,443,43,0,699,285,43,169,1418,0,169,2,7,97,54,648,1,5,1,1,47,0,34,425,2982,355,808,29,0,53,2115,3,212,621,0
0,0,0,445,0,0,24,181,0,50,17,0,41,17,0,166,261,0,72,53,139,26,171,14,0,0,225,20,0,802,68,10,58,605,0,42,1,5,112,17,286,3,2,1,0,16,0,17,268,453,99,77,82,0,20,857,0,61,96,0
0,0,1,137,0,0,146,154,50,0,8,0,58,8,0,19,30,1,40,21,124,34,259,24,0,0,88,25,0,103,93,64,166,255,0,155,2,4,38,110,131,1,4,1,0,22,0,15,90,1241,218,85,3,0,88,491,3,91,88,0
0,0,0,33,0,0,0,40,17,8,0,0,3,2,0,12,28,0,2,6,10,7,43,7,0,0,190,3,0,86,15,4,16,81,0,13,1,0,17,4,31,0,2,0,0,2,0,1,20,95,17,14,6,0,3,155,1,13,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,114,0,0,5,77,41,58,3,0,0,3,0,18,25,5,41,22,39,59,387,53,0,0,63,19,0,50,29,6,14,121,0,10,0,6,38,16,89,2,6,41,0,14,0,1,28,266,31,70,7,0,60,163,9,286,77,0
0,0,0,54,0,0,2,30,17,8,2,0,3,0,0,7,5,0,25,7,47,8,28,2,0,0,15,11,0,21,13,1,7,82,0,5,0,1,8,1,36,0,0,0,0,5,0,6,53,123,15,15,8,0,2,77,0,9,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,145,0,0,21,87,166,19,12,0,18,7,0,0,108,0,14,20,63,16,100,10,0,0,200,7,0,451,40,5,24,324,0,41,1,0,96,7,90,1,1,0,0,8,0,1,121,230,49,40,41,0,7,426,3,32,42,0
0,0,0,218,0,0,31,148,261,30,28,0,25,5,0,108,0,0,29,34,122,16,193,10,0,0,407,15,0,696,68,12,54,553,0,69,0,2,128,17,172,1,1,0,0,12,0,5,208,399,114,67,69,0,13,768,0,33,94,0
0,0,0,0,0,0,1,2,0,1,0,0,5,0,0,0,0,0,1,0,0,7,15,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,2,1,2,3,4,0
0,0,2,373,0,0,14,112,72,40,2,0,41,25,0,14,29,1,0,147,242,23,89,12,0,0,48,819,0,64,60,5,18,304,0,6,1,5,28,8,179,0,1,1,4,40,0,281,437,730,45,45,19,0,20,277,2,69,54,0
0,0,1,200,0,0,7,136,53,21,6,0,22,7,0,20,34,0,147,0,549,12,81,3,1,0,52,22,0,59,52,3,19,687,0,17,0,2,27,1,419,1,2,2,1,134,0,33,306,948,86,63,10,0,6,322,2,47,106,0
0,0,5,678,0,0,35,342,139,124,10,0,39,47,0,63,122,0,242,549,0,54,299,23,0,0,166,71,0,238,216,5,57,2588,0,40,0,5,79,18,901,0,4,3,0,258,0,34,905,2611,229,164,38,0,33,1366,2,98,150,0
0,0,0,89,0,0,20,82,26,34,7,0,59,8,0,16,16,7,23,12,54,0,613,1339,1,0,62,3,0,57,24,4,24,140,0,22,0,0,12,7,108,0,8,0,0,9,0,7,38,303,27,91,8,0,56,251,10,232,71,0
0,0,1,495,0,0,111,655,171,259,43,0,387,28,0,100,193,15,89,81,299,613,0,329,1,0,505,35,0,491,310,22,199,1011,0,181,1,9,119,69,721,0,51,2,0,34,0,28,357,2123,323,491,42,0,370,2124,28,1523,469,0
0,0,0,47,0,0,9,55,14,24,7,0,53,2,0,10,10,5,12,3,23,1339,329,0,0,0,46,3,0,56,16,3,18,80,0,22,0,0,6,4,51,0,5,0,0,5,0,3,34,194,18,41,6,0,51,174,7,132,39,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,322,0,0,62,443,225,88,190,0,63,15,0,200,407,1,48,52,166,62,505,46,0,0,0,26,0,779,204,36,155,842,0,126,5,4,256,42,297,4,6,0,0,24,0,10,231,864,169,215,55,0,40,1934,0,143,399,0
0,0,2,135,0,0,2,43,20,25,3,0,19,11,0,7,15,1,819,22,71,3,35,3,0,0,26,0,0,14,24,2,5,73,0,4,0,1,24,5,38,0,0,0,1,15,0,66,140,212,14,12,3,0,7,68,0,29,18,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,681,0,0,125,699,802,103,86,0,50,21,0,451,696,0,64,59,238,57,491,56,0,0,779,14,0,0,384,55,284,1858,0,299,4,2,324,66,515,4,6,1,0,18,0,12,510,1228,244,241,140,0,40,5218,3,137,262,0
0,0,2,229,0,0,34,285,68,93,15,0,29,13,0,40,68,0,60,52,216,24,310,16,0,0,204,24,0,384,0,13,66,978,0,81,0,0,46,33,360,0,6,0,0,17,0,12,169,1267,121,254,27,0,28,378,4,104,220,0
0,0,0,26,0,0,175,43,10,64,4,0,6,1,0,5,12,0,5,3,5,4,22,3,0,0,36,2,0,55,13,0,240,44,0,165,3,1,2,63,29,0,0,0,0,1,0,2,24,91,22,13,3,0,3,141,0,10,16,0
0,0,0,103,0,0,559,169,58,166,16,0,14,7,0,24,54,0,18,19,57,24,199,18,0,0,155,5,0,284,66,240,0,266,0,387,7,1,24,226,104,0,6,0,0,6,0,4,94,376,112,71,15,0,21,787,0,45,87,0
0,0,3,1903,0,0,140,1418,605,255,81,0,121,82,0,324,553,0,304,687,2588,140,1011,80,0,0,842,73,0,1858,978,44,266,0,0,302,4,21,235,59,4543,2,6,5,1,217,0,78,2301,6125,1181,756,159,0,87,10351,6,335,822,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,98,0,0,437,169,42,155,13,0,10,5,0,41,69,0,6,17,40,22,181,22,0,0,126,4,0,299,81,165,387,302,0,0,2,1,25,147,98,0,3,1,0,6,0,6,85,402,115,76,7,0,13,846,0,30,98,0
0,0,0,1,0,0,3,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5,0,0,4,0,3,7,4,0,2,0,0,0,7,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,3,0,0,0,0
0,0,0,10,0,0,0,7,5,4,0,0,6,1,0,0,2,0,5,2,5,0,9,0,0,0,4,1,0,2,0,1,1,21,0,1,0,0,0,2,83,0,1,0,0,1,0,1,3,42,1,7,1,0,2,11,0,6,5,0
0,0,1,177,0,0,20,97,112,38,17,0,38,8,0,96,128,1,28,27,79,12,119,6,0,0,256,24,0,324,46,2,24,235,0,25,0,0,0,13,101,9,3,2,0,12,0,8,123,244,39,49,28,0,8,335,1,22,72,0
0,0,1,42,0,0,160,54,17,110,4,0,16,1,0,7,17,0,8,1,18,7,69,4,0,0,42,5,0,66,33,63,226,59,0,147,7,2,13,0,14,1,6,1,0,3,0,2,27,109,41,18,9,0,4,131,1,15,10,0
0,0,7,1174,0,0,72,648,286,131,31,0,89,36,0,90,172,1,179,419,901,108,721,51,0,0,297,38,0,515,360,29,104,4543,0,98,1,83,101,14,0,1,8,2,0,81,0,38,936,3931,497,477,67,0,94,3301,5,413,461,0
