Amla,Biscuit,Bite,Bubble Gum,Burfi,Candy,Cham cham,Chewing Gum,Chikki,Choco Chips,Chocolate,Chocolate Bag,Chocolate Bar,Chocolate Gift Box,Chocolate Gift Pack,Chocolate Share Bags,Dark Chocolate,Dark Chocolate Bar,Dates,Digestive Tablets,Filled Bar,Filled Bars,Frozen Dessert,Gajak,Gift Box,Gift Pack,Gujia,Gujiya,Gulab Jamun,Gulkand,Gum,Halwa,Ice Cream,Jelly,Katli,Kulfi,Laddu,Lollipop,Lozenges,Marshmallow,Milk Chocolate,Mouth Freshener,Pak,Papad,Patisa,Petha,Raj Bhog,Ras Malai,Rasgulla,Rewdi,Rewri,Sauce,Shaped Chocolates,Snack,Soan Papdi,Stick Kulfi,Sundae,Sweet,Sweets,Syrup,Toffee,Toffee Pack,Wafer Bar,Wafer Chocolate,Wafer Roll,Wafers,White Chocolate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,0,1,31,0,29,0,50,0,6,2,10,0,0,4,8,0,24,0,0,0,0,0,22,0,0,2,33,0,42,2,110,2,0,0,2,7,135,0,0,0,0,2,16,0,0,0,22,0,9,6,0,0,0,1,1,0,6,2,0,4,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,26,4,3,0,0,38,0,47,0,11,6,12,1,1,7,10,1,31,0,0,0,0,0,14,0,0,0,38,0,39,3,125,5,0,0,4,7,0,0,1,44,8,3,38,0,1,0,27,0,1,6,0,0,6,4,0,0,8,7,0,5,0
0,0,44,1,26,0,11,3826,151,0,5838,1,6232,0,925,474,1422,62,0,2374,1628,36,2241,2,0,5,0,0,149,0,0,9,2210,0,173,148,522,3092,1,0,870,2729,129,87,12,145,36,13,268,6,0,0,6447,0,36,491,4,1,6,581,58,74,1850,871,0,1004,0
0,0,0,0,4,11,0,0,0,0,12,0,11,0,1,0,4,0,0,1,0,0,16,0,0,0,0,0,9,0,0,0,11,0,6,1,8,0,0,0,0,2,0,1,0,7,11,4,12,0,0,0,10,0,2,1,0,0,2,0,0,0,5,1,0,2,0
0,0,1,0,3,3826,0,0,21,0,879,1,1249,0,110,72,450,21,0,463,341,9,409,0,0,1,0,0,11,0,0,0,446,0,18,32,50,369,0,0,141,970,3,9,1,9,8,1,24,0,0,0,842,0,1,116,1,0,1,81,5,6,274,157,1,87,0
0,0,31,0,0,151,0,21,0,0,111,0,204,0,18,14,67,0,0,23,45,0,73,4,0,0,0,0,16,0,0,14,93,0,60,7,624,17,0,0,22,51,89,0,0,0,0,2,22,2,0,0,135,0,22,38,1,0,0,8,1,1,48,20,0,31,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
