Almond Beverage,Almond Milk,Beverage,Black Tea,Buttermilk,Chai,Coconut Milk,Coffee,Coffee Bags,Coffee Beans,Coffee Capsules,Coffee Creamer,Coffee Paste,Cold Brew Coffee,Cold Coffee,Combo,Detox Drink,Drink Mix,Filter Coffee,Flavoured Coffee,Flavoured Green Tea Bags,Flavoured Milk,Green Tea,Green Tea Bags,Health Drink,Health Juice,Herbal Juice,Hot Brew Coffee,Hot Chocolate,Iced Tea,Instant Coffee,Instant Coffee Premix,Instant Tea Premix,Juice,Kahwa,Lassi,Latte,Milkshake,Mix,Non-Dairy Drink,Nutrition Drink,Protein Health Drink,Roasted Coffee,Shake,Soy Beverage,Soy Milk,Soya Drink,Tea,Tea Bags,Tea Leaves,Thandai,Travel Kit
0,292,30,0,266,0,49,39,1,0,0,0,5,21,45,0,0,1,22,18,3,93,15,58,53,0,13,5,20,38,171,0,2,0,1,113,0,201,1,0,0,1,1,0,49,277,106,211,26,0,4,0
292,0,6,0,136,0,23,12,2,0,0,0,2,10,30,1,0,2,6,4,1,65,7,27,25,1,9,2,9,11,85,0,2,0,0,72,0,128,1,0,0,1,0,0,15,136,36,121,21,0,3,0
30,6,0,0,68,0,0,6,0,0,0,0,0,5,35,1,0,1,1,2,0,44,1,1,12,0,1,0,1,5,11,0,1,0,0,40,0,101,0,0,0,0,0,0,4,5,2,17,3,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,136,68,0,0,1,47,254,0,0,0,0,89,220,1795,33,0,9,159,87,33,8035,130,892,1370,23,296,15,93,833,2284,9,54,0,2,31080,0,7910,3,0,0,56,17,0,27,496,174,8755,198,0,97,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
49,23,0,0,47,0,0,7,0,0,0,0,1,2,9,0,0,0,5,4,0,22,1,7,6,0,4,1,0,5,27,0,1,0,0,15,0,33,0,0,0,1,1,0,2,18,7,44,2,0,0,0
39,12,6,0,254,0,7,0,12,0,0,0,38,46,121,0,0,0,335,86,7,83,29,115,167,1,32,26,22,55,769,7,16,0,0,104,0,141,1,0,0,7,40,0,3,33,9,1023,32,0,1,0
1,2,0,0,0,0,0,12,0,0,0,0,1,0,5,0,0,0,3,1,0,1,0,4,1,0,0,2,0,2,14,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,89,0,1,38,1,0,0,0,0,8,26,0,0,2,18,12,0,38,5,26,48,3,9,1,10,28,272,3,2,0,0,36,0,46,1,0,0,1,1,0,0,6,1,268,9,0,1,0
21,10,5,0,220,0,2,46,0,0,0,0,8,0,622,0,0,0,11,16,0,204,1,16,18,1,6,11,5,60,134,1,0,0,0,152,0,341,0,0,0,0,1,0,1,13,1,84,4,0,1,0
45,30,35,0,1795,1,9,121,5,0,0,0,26,622,0,3,0,4,114,42,5,2600,6,91,150,3,25,11,20,353,642,9,15,0,1,1609,0,3453,2,0,0,4,7,0,7,65,10,545,23,0,24,0
0,1,1,0,33,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,54,0,2,1,0,1,0,0,0,1,0,0,0,0,37,0,69,0,0,0,0,0,0,0,0,0,8,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,9,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,1,13,1,2,16,0,1,0,1,4,9,0,0,0,0,4,0,29,0,0,0,1,0,0,1,0,1,16,2,0,4,0
22,6,1,0,159,1,5,335,3,0,0,0,18,11,114,1,0,0,0,18,5,83,6,77,206,1,19,7,14,16,569,1,4,1,0,51,0,137,0,0,0,6,107,0,7,14,6,904,21,0,2,0
18,4,2,0,87,0,4,86,1,0,0,0,12,16,42,0,0,1,18,0,1,21,5,38,33,1,6,5,6,19,211,1,1,0,0,40,0,38,0,0,0,1,1,0,4,15,7,133,10,0,1,0
3,1,0,0,33,1,0,7,0,0,0,0,0,0,5,0,0,1,5,1,0,5,13,89,11,1,1,0,1,10,35,0,12,0,6,7,0,19,0,0,0,1,0,0,0,6,1,94,40,0,0,0
