Almonds,Amaranthus Leaves,Amla,Apple,Apple Ber,Apricot,Arugula,Ash Gourd,Asparagus,Avocado,Baby Corn,Banana,Banana Leaf,Banana Stem,Basil Leaves,Beans,Beetroot,Bell Pepper,Bitter Gourd,Blueberry,Bok Choy,Bottle Gourd,Brinjal,Brinjal (Bharta),Broad Beans,Broccoli,Cabbage,Capsicum,Carrot,Cauliflower,Celery,Cherry,Chilli,Chow Chow,Cluster Beans,Coccinea,Coconut,Colocasia,Combo,Coriander,Corn,Cowpea Beans,Cucumber,Curry Leaves,Custard Apple,Dates,Dill Leaves,Dragon Fruit,Dried Apricots,Drumstick,Fenugreek,Fig,Flower,Flower String,Flowers,Flowers & Greens,French Beans,Fruit,Gaath Gobhi,Garlic,Ginger,Gongura,Grapefruit,Grapes,Green Chana,Groundnut,Guava,Haricot Beans,Indian Pear,Ivy Gourd,Jackfruit,Java Plum,Kachalu,Kale Leaves,Karonda,Kiwi,Lady Finger,Leaf,Leafy Mix,Leaves,Leek,Lemon,Lemongrass,Lettuce,Litchi,Longan,Lotus Stem,Mango,Mint Leaves,Mix,Mushroom,Muskmelon,Neem Leaves,Neem Sticks,Nimbu Mirchi,Onion,Orange,Pak Choi,Papaya,Parsley,Peach,Pear,Peas,Pineapple,Plum,Pointed Gourd,Pomegranate,Potato,Pumpkin,Radish,Raw Banana,Raw Papaya,Ridge Gourd,Rosemary,Round Gourd,Salad,Sambhar Mix,Sapota,Snake Gourd,Spinach,Sponge Gourd,Spring Onion,Sprouts,Star Fruit,Stir Fry Mix,Strawberry,Sugarcane,Summer Squash,Sun Melon,Sweet Corn,Sweet Lime,Sweet Potato,Sweet Tamarind,Tapioca,Thyme,Tindli,Tomato,Turmeric,Watermelon,Wood Apple,Yam,Zucchini
0,16,52,362,0,165,5,0,0,19,44,420,0,0,31,167,119,0,141,42,1,237,197,0,1,11,50,278,196,67,8,109,231,0,66,0,439,120,38,222,69,13,547,97,0,38,0,49,10,19,4,0,0,0,0,0,1,0,0,132,245,0,38,130,2,7,18,0,0,57,11,21,0,1,12,237,294,0,0,0,0,323,7,56,332,62,14,621,93,0,144,462,0,0,0,465,122,0,96,8,324,114,73,42,252,57,3,414,41,0,8,18,52,3,145,11,0,105,13,87,102,19,124,0,0,0,1,0,55,83,171,4,41,0,1,0,595,33,615,101,8,30
16,0,161,303,0,16,16,52,2,14,98,600,6,0,101,687,544,3,782,12,19,853,1033,1,170,113,521,963,953,273,32,59,1345,36,370,160,518,392,88,1394,58,127,1519,618,1,25,1,25,9,393,237,10,1,6,35,18,26,6,44,652,880,84,26,131,4,14,58,159,0,349,47,11,11,7,10,97,1526,33,1,5,3,827,58,177,49,18,29,653,537,1,448,363,0,0,0,1817,80,4,153,41,84,52,179,42,36,509,41,1479,364,107,116,111,543,8,228,26,3,97,138,1019,331,86,223,0,0,0,4,0,34,232,84,66,10,24,9,6,2257,72,661,69,116,114
52,161,0,1929,0,34,32,269,26,66,530,2886,15,13,269,2913,4564,0,2963,102,28,4459,3058,15,294,538,1956,4638,4927,1939,189,116,5141,20,933,372,2329,1576,406,5428,327,132,8466,2486,1,171,1,169,41,1101,515,44,4,15,57,27,131,24,122,3017,4744,27,51,990,40,53,276,431,3,907,134,34,56,45,84,972,4853,8,0,28,5,5169,279,819,147,30,179,2704,3160,7,1891,1835,5,5,94,8148,650,12,967,174,314,237,999,297,223,1473,653,6309,1241,403,419,244,1158,28,959,90,7,571,259,2540,1029,601,1001,0,1,2,13,178,191,1397,887,351,83,40,8,6,9840,923,3151,388,331,483
362,303,1929,0,0,357,100,468,37,395,1523,42810,86,27,536,9110,7950,10,5912,1080,92,13485,8773,66,931,2769,6459,14093,15566,7557,369,966,15043,109,2301,1212,16170,3538,1319,15016,726,307,28796,5343,5,1506,5,1693,446,2870,1846,306,26,185,573,331,517,390,343,8321,12952,76,411,18184,110,248,3278,1656,45,2108,449,300,96,164,62,11459,17052,65,6,207,40,13959,411,2738,1496,331,317,18744,5169,101,6032,16329,24,10,1060,26731,9457,11,11171,412,3063,5809,3294,1893,2451,4013,10015,22086,3159,1262,1076,657,3949,44,1915,386,55,6096,604,7011,2475,1262,4601,0,4,18,92,297,1722,3643,6144,1055,340,65,26,26,33620,618,26358,1302,547,1393
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
165,16,34,357,0,0,2,1,0,14,24,374,0,0,13,110,74,0,96,34,0,150,141,0,0,12,40,206,146,60,4,77,144,0,35,0,222,79,38,140,35,14,353,55,0,22,0,35,8,12,1,0,0,0,1,1,4,0,0,75,149,0,34,148,0,0,3,1,0,31,3,18,0,0,14,214,194,0,0,0,0,240,8,41,265,52,7,585,52,1,91,414,0,0,0,319,151,1,95,4,614,129,44,33,471,48,2,257,38,0,13,18,29,0,86,12,0,112,11,48,69,6,51,0,0,0,0,0,54,46,92,1,27,1,0,0,413,17,418,66,7,29
5,16,32,100,0,2,0,0,0,41,61,134,0,0,209,141,157,0,63,30,84,152,102,0,2,120,137,322,195,105,52,10,159,0,31,0,83,53,17,162,31,6,450,75,0,2,0,23,5,21,0,0,0,0,0,0,26,0,0,131,152,0,4,74,0,0,3,0,0,32,3,3,5,157,2,47,155,0,2,0,19,177,25,490,15,2,31,124,93,0,230,112,0,0,40,275,75,0,38,111,25,16,55,10,16,42,28,206,53,0,12,12,32,4,25,113,0,24,8,120,47,60,102,0,0,0,0,13,25,76,30,8,1,0,0,0,571,28,168,22,15,130
0,52,269,468,0,1,0,0,19,11,183,993,29,22,40,828,1000,0,506,6,1,903,953,0,393,203,914,971,1834,587,32,0,1280,105,386,637,915,322,78,1591,0,0,1902,985,0,21,1,23,10,1157,367,23,2,25,88,45,69,22,249,607,862,22,12,240,0,16,118,666,0,0,9,2,0,0,0,85,1498,8,0,25,1,935,72,113,0,13,0,572,801,1,504,367,8,5,0,2064,36,1,296,2,0,45,0,34,0,176,147,1585,838,488,178,157,762,0,0,0,9,111,326,834,0,0,261,0,0,0,5,0,0,407,142,292,13,45,0,0,2532,48,550,19,420,83
0,2,26,37,0,0,0,19,0,3,36,49,0,0,20,65,59,0,41,2,11,59,62,0,24,72,72,122,144,60,13,0,104,4,18,24,41,19,15,137,0,0,150,54,0,4,0,0,1,55,22,1,0,0,2,2,7,0,8,75,71,2,0,8,0,2,8,40,0,0,0,0,0,0,0,5,123,3,0,0,9,84,36,34,0,5,0,37,55,1,128,37,0,0,0,179,6,29,15,9,0,3,0,2,0,20,7,133,34,25,4,10,22,0,0,0,0,6,20,83,0,0,35,0,3,0,3,0,0,48,7,29,0,9,8,0,199,4,51,2,11,41
19,14,66,395,0,14,41,11,3,0,108,493,1,1,119,181,205,0,111,424,31,212,151,0,11,247,177,469,288,139,46,78,208,1,40,7,346,64,33,242,47,6,537,97,0,45,0,170,35,60,14,14,0,1,5,3,22,7,2,163,206,0,46,245,0,5,43,9,0,33,4,10,1,42,4,293,224,1,3,0,8,338,33,456,36,21,22,412,119,1,265,256,0,0,21,446,210,0,123,65,94,122,67,69,77,53,122,296,51,9,21,22,53,6,43,85,3,77,10,135,52,56,170,0,0,0,1,6,42,90,89,22,19,1,2,0,732,30,421,62,11,186
